width|threads_num|time
128|1|0.0281153
128|2|0.2194175
128|4|0.11656180000000001
128|8|0.229242
128|16|0.8612613
128|32|0.7027600000000002
128|64|5.6062528
128|128|17.2091569
256|1|0.11384090000000002
256|2|0.5377127999999999
256|4|0.25784570000000007
256|8|0.4822399
256|16|2.2030895999999998
256|32|2.0280871
256|64|8.114728099999999
256|128|21.901345
512|1|1.6416536000000002
512|2|2.3388763999999993
512|4|1.7690313
512|8|1.7047444999999999
512|16|5.599689099999999
512|32|13.857624300000001
512|64|28.221771
512|128|36.08174019999999
1024|1|6.539662
1024|2|9.261441500000002
1024|4|6.3226461
1024|8|7.036436100000001
1024|16|17.1708147
1024|32|39.687083099999995
1024|64|73.5376717
1024|128|109.7199024
2048|1|26.1536398
2048|2|37.276209200000004
2048|4|22.6184006
2048|8|21.306674699999995
2048|16|61.0088074
2048|32|102.0473173
2048|64|239.52185139999997
2048|128|445.06453680000004
4096|1|116.56997130000002
4096|2|154.1594153
4096|4|100.071589
4096|8|78.5794022
4096|16|228.39052309999997
4096|32|375.1956995
4096|64|909.8043292
4096|128|1796.8813824999997
